Variable Information,,,,,,,,,
Variable,Position,Label,Measurement Level,Role,Column Width,Alignment,Print Format,Write Format,
confid_zelenskyy_dk,145,Q7fAUS. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? f. Ukrainian President Volodymyr Zelenskyy,Nominal,Input,8,Right,F3,F3,
trump_personality_qualified,146,Q8a. Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? a. Well-qualified to be president,Nominal,Input,29,Right,F2,F2,
trump_personality_strong,147,Q8b. Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? b. A strong leader,Nominal,Input,26,Right,F2,F2,
trump_personality_honest,148,Q8c. Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? c. Honest,Nominal,Input,29,Right,F2,F2,
trump_personality_dangerous,149,Q8d. Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? d. Dangerous,Nominal,Input,29,Right,F2,F2,
trump_personality_complex,150,Q8e. Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? e. Able to understand complex problems,Nominal,Input,27,Right,F2,F2,
trump_personality_diplomatic,151,Q8f. Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? f. Diplomatic,Nominal,Input,30,Right,F2,F2,
trump_personality_arrogant,152,Q8g. Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? g. Arrogant,Nominal,Input,30,Right,F2,F2,
trump_handling_econ,153,Q9a. (SHORTENED) How much confidence do you have in U.S. President Donald Trump to handle each of the following issues? a. Global economic problems,Nominal,Input,21,Right,F2,F2,
trump_handling_climate,154,Q9b. (SHORTENED) How much confidence do you have in U.S. President Donald Trump to handle each of the following issues? b. Climate change,Nominal,Input,24,Right,F2,F2,
trump_handling_china,155,Q9c. (SHORTENED) How much confidence do you have in U.S. President Donald Trump to handle each of the following issues? c. Relations between China and the United States,Nominal,Input,22,Right,F2,F2,
trump_handling_rusukr,156,Q9d. (SHORTENED) How much confidence do you have in U.S. President Donald Trump to handle each of the following issues? d. The conflict between Russia and Ukraine,Nominal,Input,23,Right,F2,F2,
trump_handling_isrneigh,157,Q9e. (SHORTENED) How much confidence do you have in U.S. President Donald Trump to handle each of the following issues? e. The conflict between Israel and its neighbors,Nominal,Input,25,Right,F2,F2,
trump_handling_immigration,158,Q9f. (SHORTENED) How much confidence do you have in U.S. President Donald Trump to handle each of the following issues? f. United States' immigration policies,Nominal,Input,25,Right,F2,F2,
usdem_works,159,"Q10. Thinking about democracy in the United States, would you say it works very well, somewhat well, somewhat poorly or very poorly?",Nominal,Input,13,Right,F2,F2,
conflict_usparties,160,"Q11. In your opinion, in the United States, are the conflicts between people who support different political parties very strong, strong, not very strong or are there no conflicts at all?",Nominal,Input,20,Right,F2,F2,
econ_power,161,"Q12. Today, which ONE of the following do you think is the world’s leading economic power?",Nominal,Input,12,Right,F2,F2,
us_or_china,162,Q14. Is it more important for (survey country) to have strong economic ties with ...?,Nominal,Input,13,Right,F2,F2,
moral_state,163,"Q16. Generally, how would you rate the morality and ethics of (survey country nationality)s – are their morals very good, somewhat good, somewhat bad or very bad?",Nominal,Input,13,Right,F2,F2,
moral_affair,164,"Q17a. Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? a. Married people having an affair",Nominal,Input,14,Right,F2,F2,
moral_homosexuality,165,"Q17b. Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? b. Homosexuality",Nominal,Input,21,Right,F2,F2,
moral_abortion,166,"Q17c. Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? c. Having an abortion",Nominal,Input,16,Right,F2,F2,
moral_gambling,167,"Q17d. Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? d. Gambling",Nominal,Input,16,Right,F2,F2,
moral_contraceptives,168,"Q17e. Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? e. Using contraceptives",Nominal,Input,22,Right,F2,F2,
moral_pornography,169,"Q17f. Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? f. Viewing pornography",Nominal,Input,19,Right,F2,F2,
moral_marijuana,170,"Q17g. Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? g. Using marijuana",Nominal,Input,17,Right,F2,F2,
moral_alcohol,171,"Q17h. Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? h. Drinking alcohol",Nominal,Input,15,Right,F2,F2,
moral_divorce,172,"Q17i. Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? i. Getting a divorce",Nominal,Input,15,Right,F2,F2,
believe_god,173,Q18. Please choose the statement that comes closer to your own views – even if neither is exactly right.,Nominal,Input,13,Right,F2,F2,
citizen_religion,174,"Q19Aa. [FORM 1] (SHORTENED) Thinking about what it means to be a good member of society, how important are the following aspects? a. Attending religious services regularly",Nominal,Input,18,Right,F2,F2,
citizen_vote,175,"Q19Ab. [FORM 1] (SHORTENED) Thinking about what it means to be a good member of society, how important are the following aspects? b. Voting in elections",Nominal,Input,14,Right,F2,F2,
citizen_follow,176,"Q19Ac. [FORM 1] (SHORTENED) Thinking about what it means to be a good member of society, how important are the following aspects? c. Following what is happening in politics in (survey country)",Nominal,Input,16,Right,F2,F2,
citizen_environment,177,"Q19Ad. [FORM 1] (SHORTENED) Thinking about what it means to be a good member of society, how important are the following aspects? d. Making choices that help reduce the effects of global climate change",Nominal,Input,21,Right,F2,F2,
citizen_protest,178,"Q19Ae. [FORM 1] (SHORTENED) Thinking about what it means to be a good member of society, how important are the following aspects? e. Joining demonstrations about issues you think are important",Nominal,Input,17,Right,F2,F2,
citizen5_religion,179,"Q19Ba. [FORM 2] (SHORTENED) Thinking about what it means to be a good member of society, how important are the following aspects? a. Attending religious services regularly",Nominal,Input,19,Right,F2,F2,
citizen5_vote,180,"Q19Bb. [FORM 2] (SHORTENED) Thinking about what it means to be a good member of society, how important are the following aspects? b. Voting in elections",Nominal,Input,15,Right,F2,F2,
citizen5_follow,181,"Q19Bc. [FORM 2] (SHORTENED) Thinking about what it means to be a good member of society, how important are the following aspects? c. Following what is happening in politics in (survey country)",Nominal,Input,17,Right,F2,F2,
citizen5_environment,182,"Q19Bd. [FORM 2] (SHORTENED) Thinking about what it means to be a good member of society, how important are the following aspects? d. Making choices that help reduce the effects of global climate change",Nominal,Input,22,Right,F2,F2,
citizen5_protest,183,"Q19Be. [FORM 2] (SHORTENED) Thinking about what it means to be a good member of society, how important are the following aspects? e. Joining demonstrations about issues you think are important",Nominal,Input,18,Right,F2,F2,
polsys_country,184,"Q20. Thinking about (survey country), would you say the political system needs to be completely reformed, needs major changes, needs minor changes, or doesn’t need to be changed?",Nominal,Input,16,Right,F2,F2,
polsys_countryfu,185,"Q21. [ASK IF polsys_country = 1, 2, 3] And how confident are you that (survey country)'s political system can be changed effectively - very confident, somewhat confident, not too confident, or not at all confident?",Nominal,Input,18,Right,F2,F2,
elections_four,186,"Q22A. [FORM 1] How confident are you that elections in (survey country) are conducted fairly and accurately - very confident, somewhat confident, not too confident, or not at all confident?",Nominal,Input,16,Right,F2,F2,
elections_five,187,"Q22B. [FORM 2] How confident are you that elections in (survey country) are conducted fairly and accurately - extremely confident, very confident, somewhat confident, not too confident, or not at all confident?",Nominal,Input,16,Right,F2,F2,
officials_trait_understand,188,"Q23a. (SHORTENED) Thinking about elected officials in (survey country), would you say each of the following statements applies to ...? a. They understand the needs of ordinary people",Nominal,Input,28,Right,F2,F2,
officials_trait_focus,189,"Q23b. (SHORTENED) Thinking about elected officials in (survey country), would you say each of the following statements applies to ...? b. They focus on the most important problems in (survey country)",Nominal,Input,23,Right,F2,F2,
officials_trait_qualified,190,"Q23c. (SHORTENED) Thinking about elected officials in (survey country), would you say each of the following statements applies to ...? c. They are well-qualified for their positions",Nominal,Input,27,Right,F2,F2,
officials_trait_ethical,191,"Q23d. (SHORTENED) Thinking about elected officials in (survey country), would you say each of the following statements applies to ...? d. They are ethical",Nominal,Input,25,Right,F2,F2,
officials_trait_honest,192,"Q23e. (SHORTENED) Thinking about elected officials in (survey country), would you say each of the following statements applies to ...? e. They are honest",Nominal,Input,24,Right,F2,F2,
intthreat_climatechange,193,"Q24a. (SHORTENED) Do you think that each of the following is a major threat, a minor threat, or not a threat to (survey country)? a. Global climate change",Nominal,Input,25,Right,F2,F2,
intthreat_econcondition,194,"Q24b. (SHORTENED) Do you think that each of the following is a major threat, a minor threat, or not a threat to (survey country)? b. The condition of the global economy",Nominal,Input,25,Right,F2,F2,
intthreat_disease,195,"Q24c. (SHORTENED) Do you think that each of the following is a major threat, a minor threat, or not a threat to (survey country)? c. The spread of infectious diseases",Nominal,Input,19,Right,F2,F2,
intthreat_misinfo,196,"Q24d. (SHORTENED) Do you think that each of the following is a major threat, a minor threat, or not a threat to (survey country)? d. The spread of false information online",Nominal,Input,19,Right,F2,F2,
intthreat_terrorism,197,"Q24f. (SHORTENED) Do you think that each of the following is a major threat, a minor threat, or not a threat to (survey country)? f. Terrorism",Nominal,Input,21,Right,F2,F2,
allies_open,198,Q25. What country do you think is (survey country)’s most important ally?,Scale,Input,21,Right,F8,F8,
threats_open,199,Q26. What country do you think poses the greatest threat to (survey country)?,Scale,Input,22,Right,F8,F8,
threat_type_econ,200,"Q27a. [ASK IF threats_open =/= 96, 98, 99] (SHORTENED) To what extent does the country you mentioned in the previous question pose a threat to each of the following? a. (survey country)'s economy",Nominal,Input,18,Right,F2,F2,
threat_type_security,201,"Q27b. [ASK IF threats_open =/= 96, 98, 99] (SHORTENED) To what extent does the country you mentioned in the previous question pose a threat to each of the following? b. (survey country)'s national security",Nominal,Input,22,Right,F2,F2,
ai_heard,202,"Q30. Artificial intelligence, also known as AI, is designed to learn tasks that humans typically do, for instance recognizing speech or pictures. Have you heard or read a lot, a little, or nothing at all about artificial intelligence?",Nominal,Input,10,Right,F2,F2,
ai_cncexc,203,"Q31. Overall, how would you say the increased use of artificial intelligence in daily life makes you feel?",Nominal,Input,8,Right,F2,F2,
aireg_us,204,Q32a. (SHORTENED) How much trust do you have in each of the following countries and organizations to regulate the use of artificial intelligence effectively? a. The United States,Nominal,Input,10,Right,F2,F2,
aireg_china,205,Q32b. (SHORTENED) How much trust do you have in each of the following countries and organizations to regulate the use of artificial intelligence effectively? b. China,Nominal,Input,13,Right,F2,F2,
aireg_eu,206,Q32c. (SHORTENED) How much trust do you have in each of the following countries and organizations to regulate the use of artificial intelligence effectively? c. The European Union,Nominal,Input,10,Right,F2,F2,
aireg_country,207,Q32d. (SHORTENED) How much trust do you have in each of the following countries and organizations to regulate the use of artificial intelligence effectively? d. (survey country),Nominal,Input,15,Right,F2,F2,
china_rights,208,"Q33a. (SHORTENED) For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? a. China's policies on human rights",Nominal,Input,14,Right,F2,F2,
china_econcomp,209,"Q33b. (SHORTENED) For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? b. Economic competition with China",Nominal,Input,16,Right,F2,F2,
china_milpower,210,"Q33c. (SHORTENED) For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? c. China's military power",Nominal,Input,16,Right,F2,F2,
china_politics,211,"Q33d. (SHORTENED) For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? d. China's involvement in politics in (survey country)",Nominal,Input,16,Right,F2,F2,
china_debt,212,"Q33e. (SHORTENED) For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? e. The amount of debt (survey country) owes to China",Nominal,Input,12,Right,F2,F2,
china_territory,213,"Q34. Do you think China’s territorial disputes with India are a very serious problem, somewhat serious problem, not too serious a problem or not a problem at all for India?",Nominal,Input,17,Right,F2,F2,
china_invest,214,"Q35. Which of these statements comes closer to your view, even if neither is exactly right?",Nominal,Input,14,Right,F2,F2,
us_rights,215,"Q36a. (SHORTENED) For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? a. The United States' policies on human rights",Nominal,Input,11,Right,F2,F2,
us_econcomp,216,"Q36b. (SHORTENED) For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? b. Economic competition with the U.S.",Nominal,Input,13,Right,F2,F2,
us_milpower,217,"Q36c. (SHORTENED) For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? c. The United States' military power",Nominal,Input,13,Right,F2,F2,
us_politics,218,"Q36d. (SHORTENED) For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? d. The United States’ involvement in politics in (survey country)",Nominal,Input,13,Right,F2,F2,
us_debt,219,"Q36e. (SHORTENED) For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? e. The amount of debt (survey country) owes to the U.S.",Nominal,Input,9,Right,F2,F2,
us_invest,220,"Q37. Which of these statements comes closer to your view, even if neither is exactly right?",Nominal,Input,11,Right,F2,F2,
climate_local,221,"Q38. Do you think that global climate change is affecting the area where you live a great deal, some, not too much or not at all?",Nominal,Input,15,Right,F2,F2,
climate_effects,222,Q39B. [FORM 2] I am going to read you a list of possible effects of global climate change. Which one of these effects concerns you most?,Nominal,Input,18,Right,F2,F2,
climate_concern,223,"Q40. How concerned are you, if at all, that global climate change will harm you personally at some point in your lifetime? Are you very concerned, somewhat concerned, not too concerned or not at all concerned?",Nominal,Input,17,Right,F2,F2,
climate_behavior,224,"Q41. (SHORTENED) How much, if anything, would you be willing to change about how you live and work to help reduce the effects of global climate change?",Nominal,Input,18,Right,F2,F2,
wealth_emissions,225,Q42. Which of the following do you think should matter more in deciding how much a country does to address global climate change?,Nominal,Input,18,Right,F2,F2,
climate_intlcommunity,226,"Q43. How confident are you that actions taken by the international community will significantly reduce the effects of global climate change – very confident, somewhat confident, not too confident, or not at all confident?",Nominal,Input,23,Right,F2,F2,
growinflu_country,227,Q44. Would you say (survey country)'s influence in the world in recent years has been...?,Nominal,Input,19,Right,F2,F2,
brderjob,228,"Q45. How would you rate the job the U.S. government is doing dealing with the large number of people seeking asylum at the U.S. border with Mexico – a very good job, a somewhat good job, a somewhat bad job, or a very bad job?",Nominal,Input,10,Right,F2,F2,
brderjob_mex,229,"Q46. How would you rate the job the Mexican government is doing dealing with the large number of people seeking asylum at the U.S. border with Mexico – a very good job, a somewhat good job, a somewhat bad job, or a very bad job?",Nominal,Input,14,Right,F2,F2,
mex_court_approve,230,"Q47. Do you strongly approve, somewhat approve, somewhat disapprove or strongly disapprove of the law passed last year that requires all judges in Mexico to be elected by popular vote?",Nominal,Input,19,Right,F2,F2,
discrim2_hindu,231,"Q48Aa. [FORM 1] Just your impression, in India today, is there a lot of discrimination against ...? a. Hindus",Nominal,Input,16,Right,F2,F2,
discrim2_muslim,232,"Q48Ab. [FORM 1] Just your impression, in India today, is there a lot of discrimination against ...? b. Muslims",Nominal,Input,17,Right,F2,F2,
discrim2_christian,233,"Q48Ac. [FORM 1] Just your impression, in India today, is there a lot of discrimination against ...? c. Christians",Nominal,Input,20,Right,F2,F2,
discrim2_sikh,234,"Q48Ad. [FORM 1] Just your impression, in India today, is there a lot of discrimination against ...? d. Sikhs",Nominal,Input,15,Right,F2,F2,
discrim2_buddhist,235,"Q48Ae. [FORM 1] Just your impression, in India today, is there a lot of discrimination against ...? e. Buddhists",Nominal,Input,19,Right,F2,F2,
discrim2_jain,236,"Q48Af. [FORM 1] Just your impression, in India today, is there a lot of discrimination against ...? f. Jains",Nominal,Input,15,Right,F2,F2,
discrim2_sc,237,"Q48Ag. [FORM 1] Just your impression, in India today, is there a lot of discrimination against ...? g. Members of Scheduled Castes",Nominal,Input,13,Right,F2,F2,
discrim2_st,238,"Q48Ah. [FORM 1] Just your impression, in India today, is there a lot of discrimination against ...? h. Members of Scheduled Tribes",Nominal,Input,13,Right,F2,F2,
discrim2_obc,239,"Q48Ai. [FORM 1] Just your impression, in India today, is there a lot of discrimination against ...? i. Members of Other Backward Classes",Nominal,Input,14,Right,F2,F2,
discrim2_women,240,"Q48Aj. [FORM 1] Just your impression, in India today, is there a lot of discrimination against ...? j. Women",Nominal,Input,16,Right,F2,F2,
discrim2_men,241,"Q48Ak. [FORM 1] Just your impression, in India today, is there a lot of discrimination against ...? k. Men",Nominal,Input,14,Right,F2,F2,
discrim4_hindu,242,"Q48Ba. [FORM 2] Just your impression, in India today, is there a lot of discrimination, some discrimination, not too much discrimination, or no discrimination at all against ...? a. Hindus",Nominal,Input,16,Right,F2,F2,
discrim4_muslim,243,"Q48Bb. [FORM 2] Just your impression, in India today, is there a lot of discrimination, some discrimination, not too much discrimination, or no discrimination at all against ...? b. Muslims",Nominal,Input,17,Right,F2,F2,
discrim4_christian,244,"Q48Bc. [FORM 2] Just your impression, in India today, is there a lot of discrimination, some discrimination, not too much discrimination, or no discrimination at all against ...? c. Christians",Nominal,Input,20,Right,F2,F2,
discrim4_sikh,245,"Q48Bd. [FORM 2] Just your impression, in India today, is there a lot of discrimination, some discrimination, not too much discrimination, or no discrimination at all against ...? d. Sikhs",Nominal,Input,15,Right,F2,F2,
discrim4_buddhist,246,"Q48Be. [FORM 2] Just your impression, in India today, is there a lot of discrimination, some discrimination, not too much discrimination, or no discrimination at all against ...? e. Buddhists",Nominal,Input,19,Right,F2,F2,
discrim4_jain,247,"Q48Bf. [FORM 2] Just your impression, in India today, is there a lot of discrimination, some discrimination, not too much discrimination, or no discrimination at all against ...? f. Jains",Nominal,Input,15,Right,F2,F2,
discrim4_sc,248,"Q48Bg. [FORM 2] Just your impression, in India today, is there a lot of discrimination, some discrimination, not too much discrimination, or no discrimination at all against ...? g. Members of Scheduled Castes",Nominal,Input,13,Right,F2,F2,
discrim4_st,249,"Q48Bh. [FORM 2] Just your impression, in India today, is there a lot of discrimination, some discrimination, not too much discrimination, or no discrimination at all against ...? h. Members of Scheduled Tribes",Nominal,Input,13,Right,F2,F2,
discrim4_obc,250,"Q48Bi. [FORM 2] Just your impression, in India today, is there a lot of discrimination, some discrimination, not too much discrimination, or no discrimination at all against ...? i. Members of Other Backwards Classes",Nominal,Input,14,Right,F2,F2,
discrim4_women,251,"Q48Bj. [FORM 2] Just your impression, in India today, is there a lot of discrimination, some discrimination, not too much discrimination, or no discrimination at all against ...? j. Women",Nominal,Input,16,Right,F2,F2,
discrim4_men,252,"Q48Bk. [FORM 2] Just your impression, in India today, is there a lot of discrimination, some discrimination, not too much discrimination, or no discrimination at all against ...? k. Men",Nominal,Input,14,Right,F2,F2,
socladder_self,253,"Q49. (SHORTENED) Imagine South African society as a ladder. Where would you put yourself on this ladder, if 10 is at the top and 0 is the bottom?",Nominal,Input,16,Right,F2,F2,
socladder_black,254,"Q50a. Using the same ladder, where would you say each of the following groups fall in South Africa today, if 10 is the top and 0 is the bottom? a. Black South Africans",Nominal,Input,17,Right,F2,F2,
socladder_white,255,"Q50b. Using the same ladder, where would you say each of the following groups fall in South Africa today, if 10 is the top and 0 is the bottom? b. White South Africans",Nominal,Input,17,Right,F2,F2,
socladder_coloured,256,"Q50c. Using the same ladder, where would you say each of the following groups fall in South Africa today, if 10 is the top and 0 is the bottom? c. Coloured South Africans",Nominal,Input,20,Right,F2,F2,
socladder_past_black,257,"Q51a. Using the same ladder, where would you say each of the following groups fell 30 years ago? a. Black South Africans",Nominal,Input,22,Right,F2,F2,
socladder_past_white,258,"Q51b. Using the same ladder, where would you say each of the following groups fell 30 years ago? b. White South Africans",Nominal,Input,22,Right,F2,F2,
socladder_past_coloured,259,"Q51c. Using the same ladder, where would you say each of the following groups fell 30 years ago? c. Coloured South Africans",Nominal,Input,25,Right,F2,F2,
respect_current,260,"Q53. How respected is (survey country) around the world – very respected, somewhat respected, not too respected or not at all respected?",Nominal,Input,17,Right,F2,F2,
jewish_settlements,261,"Q77. In your opinion, does the continued building of Jewish settlements in the West Bank help the security of Israel, hurt the security of Israel, or does it not make a difference?",Nominal,Input,20,Right,F2,F2,
palstate_intl,262,"Q78. How likely do you think it is that the international community will recognize an independent Palestinian state in the next five years – very likely, somewhat likely, somewhat unlikely, or very unlikely?",Nominal,Input,15,Right,F2,F2,
isr_pal_coexist,263,"Q79. Do you think a way can be found for Israel and an independent Palestinian state to coexist peacefully with each other, or not?",Nominal,Input,17,Right,F2,F2,
isr_pal_coexist2,264,"Q80. [ASK IF isr_pal_coexist = 1, 3] And would you expect the independent Palestinian state to be in the West Bank, in Gaza or both?",Nominal,Input,18,Right,F2,F2,
isrcommit_isrpeople,265,"Q81a. Do you think each of the following groups are very committed, somewhat committed, not too committed or not at all committed to working toward lasting peace between Israelis and Palestinians? a. The Israeli people",Nominal,Input,21,Right,F2,F2,
isrcommit_palpeople,266,"Q81b. Do you think each of the following groups are very committed, somewhat committed, not too committed or not at all committed to working toward lasting peace between Israelis and Palestinians? b. The Palestinian people",Nominal,Input,21,Right,F2,F2,
isrcommit_isrgovt,267,"Q81c. Do you think each of the following groups are very committed, somewhat committed, not too committed or not at all committed to working toward lasting peace between Israelis and Palestinians? c. The Israeli government",Nominal,Input,19,Right,F2,F2,
isrcommit_hamas,268,"Q81d. Do you think each of the following groups are very committed, somewhat committed, not too committed or not at all committed to working toward lasting peace between Israelis and Palestinians? d. Hamas",Nominal,Input,17,Right,F2,F2,
isrcommit_pa,269,"Q81e. Do you think each of the following groups are very committed, somewhat committed, not too committed or not at all committed to working toward lasting peace between Israelis and Palestinians? e. The Palestinian Authority",Nominal,Input,14,Right,F2,F2,
isrobstacle_settlements,270,"Q82a. (SHORTENED) Do you think __ is a major obstacle, minor obstacle or not an obstacle at all to working toward lasting peace between Israelis and Palestinians, or are you not sure? a. Israeli settlements in the West Bank",Nominal,Input,25,Right,F2,F2,
isrobstacle_jerusalem,271,"Q82b. (SHORTENED) Do you think __ is a major obstacle, minor obstacle or not an obstacle at all to working toward lasting peace between Israelis and Palestinians, or are you not sure? b. The status of Jerusalem",Nominal,Input,23,Right,F2,F2,
isrobstacle_poldiff,272,"Q82c. (SHORTENED) Do you think __ is a major obstacle, minor obstacle or not an obstacle at all to working toward lasting peace between Israelis and Palestinians, or are you not sure? c. Conflict between the left and right in Israel",Nominal,Input,21,Right,F2,F2,
isrobstacle_hfdiff,273,"Q82d. (SHORTENED) Do you think __ is a major obstacle, minor obstacle or not an obstacle at all to working toward lasting peace between Israelis and Palestinians, or are you not sure? d. Conflict between Hamas and Fatah",Nominal,Input,20,Right,F2,F2,
isrobstacle_trust,274,"Q82e. (SHORTENED) Do you think __ is a major obstacle, minor obstacle or not an obstacle at all to working toward lasting peace between Israelis and Palestinians, or are you not sure? e. Lack of trust between Israelis and Palestinians",Nominal,Input,19,Right,F2,F2,
isrpal_influ_us,275,"Q83a. (SHORTENED) Thinking about __, are they very helpful, somewhat helpful, somewhat harmful, or very harmful when it comes to working toward lasting peace between Israelis and Palestinians? a. The United States",Nominal,Input,17,Right,F2,F2,
isrpal_influ_qatar,276,"Q83b. (SHORTENED) Thinking about __, are they very helpful, somewhat helpful, somewhat harmful, or very harmful when it comes to working toward lasting peace between Israelis and Palestinians? b. Qatar",Nominal,Input,20,Right,F2,F2,
isrpal_influ_un,277,"Q83c. (SHORTENED) Thinking about __, are they very helpful, somewhat helpful, somewhat harmful, or very harmful when it comes to working toward lasting peace between Israelis and Palestinians? c. The United Nations",Nominal,Input,17,Right,F2,F2,
isrpal_influ_sa,278,"Q83d. (SHORTENED) Thinking about __, are they very helpful, somewhat helpful, somewhat harmful, or very harmful when it comes to working toward lasting peace between Israelis and Palestinians? d. Saudi Arabia",Nominal,Input,17,Right,F2,F2,
isrpal_influ_egypt,279,"Q83e. (SHORTENED) Thinking about __, are they very helpful, somewhat helpful, somewhat harmful, or very harmful when it comes to working toward lasting peace between Israelis and Palestinians? e. Egypt",Nominal,Input,20,Right,F2,F2,
isrpal_influ_china,280,"Q83f. (SHORTENED) Thinking about __, are they very helpful, somewhat helpful, somewhat harmful, or very harmful when it comes to working toward lasting peace between Israelis and Palestinians? f. China",Nominal,Input,20,Right,F2,F2,
isrpal_influ_iran,281,"Q83g. (SHORTENED) Thinking about __, are they very helpful, somewhat helpful, somewhat harmful, or very harmful when it comes to working toward lasting peace between Israelis and Palestinians? g. Iran",Nominal,Input,19,Right,F2,F2,
trump_favorisrpal,282,Q84. Do you think U.S. President Donald Trump is...?,Nominal,Input,19,Right,F2,F2,
govern_gaza,283,"Q85. After the war ends, which of the following groups do you think should govern the Gaza Strip?",Nominal,Input,13,Right,F2,F2,
gender,284,Q88. Gender of respondent,Nominal,Input,5,Right,F2,F2,
gender_australia,285,Q88AUS. Gender of respondent - Australia,Nominal,Input,18,Right,F8,F8,
age,286,Q89. What is your age?,Nominal,Input,5,Right,F2,F2,
age_australia,287,Q89AUS. Age - Australia,Nominal,Input,15,Right,F8,F8,
d_age_argentina,288,"Q89bARG. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,17,Right,F2,F2,
d_age_brazil,289,"Q89bBRA. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,14,Right,F2,F2,
d_age_canada,290,"Q89bCAN. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,14,Right,F2,F2,
d_age_france,291,"Q89bFRA. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,14,Right,F2,F2,
d_age_germany,292,"Q89bDEU. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,15,Right,F2,F2,
d_age_greece,293,"Q89bGRC. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,14,Right,F2,F2,
d_age_hungary,294,"Q89bHUN. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,15,Right,F2,F2,
d_age_india,295,"Q89bIND. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,13,Right,F2,F2,
d_age_indonesia,296,"Q89bIDN. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,17,Right,F2,F2,
d_age_israel,297,"Q89bISR. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,14,Right,F2,F2,
d_age_italy,298,"Q89bITA. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,13,Right,F2,F2,
d_age_japan,299,"Q89bJPN. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,13,Right,F2,F2,
d_age_kenya,300,"Q89bKEN. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,13,Right,F2,F2,
d_age_mexico,301,"Q89bMEX. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,14,Right,F2,F2,
d_age_netherlands,302,"Q89bNLD. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,19,Right,F2,F2,
d_age_nigeria,303,"Q89bNGA. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,15,Right,F2,F2,
d_age_poland,304,"Q89bPOL. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,14,Right,F2,F2,
d_age_safrica,305,"Q89bZAF. [ASK IF age = 98, 99] Could you tell me if you are between the ages of...?",Nominal,Input,15,Right,F2,F2,
